19200;120;7.22
19800;68;3.52
14300;123;4.24
16700;115;10.76
15400;119;2.76
18700;51;5.24
13000;94;6.96
11100;95;3.83
17800;49;5.71
20900;11;2.90
17300;106;4.21
15800;51;17.73
13000;54;6.75
17700;37;3.30
18300;122;10.62
14500;99;3.44
16200;26;7.33
13700;24;9.60
20000;110;3.44
10500;27;10.70
13400;65;4.87
10800;94;2.70
11800;17;3.90
11100;70;4.70
14500;1;3.63
13800;27;2.96
16000;51;10.60
14800;64;4.78
14500;67;3.14
20100;110;5.83
12900;89;3.23
14100;33;5.14
15700;105;5.01
17000;122;2.85
17600;31;9.10
17800;97;5.48
13200;20;4.85
12400;81;2.64
13000;66;8.32
15600;16;113.45
11200;109;12.67
15000;55;3.67
17500;112;3.16
19900;85;9.41
12000;22;4.29
10100;109;2.75
18300;15;10.15
17000;61;2.61
19200;53;8.93
12500;26;4.45
17800;30;6.51
18200;49;3.93
19200;105;7.42
11800;24;4.20
11200;56;12.23
20000;2;3.36
17100;32;5.72
17900;120;2.31
15200;98;3.31
17900;43;2.42
11300;62;3.63
13500;53;13.20
10500;40;10.29
18100;111;20.39
16100;23;3.16
16600;24;3.75
13400;20;4.05
10600;11;3.22
18500;99;7.51
13400;4;3.99
18000;38;4.63
15200;64;3.49
19700;75;19.56
13400;100;4.74
16200;66;5.72
11400;80;9.02
14000;96;2.65
15900;43;3.33
16200;91;6.86
12300;20;6.63
13400;121;4.96
19000;18;14.09
10800;63;2.71
12000;7;3.57
13300;67;49.88
17600;108;8.97
19700;11;18.13
16300;104;2.66
11200;68;12.02
12800;79;11.81
10800;79;3.03
17800;125;6.39
18400;97;3.55
12600;121;26.89
11500;93;2.86
18500;33;6.55
13900;61;6.53
13300;89;50.67
17400;9;16.98
13100;75;2.87
15500;65;6.47
11600;65;6.27
19500;63;105.41
16200;37;5.75
11300;45;3.84
16600;53;3.89
18800;58;36.26
19100;96;3.17
19000;29;14.56
20300;92;5.21
17700;39;2.82
13200;88;5.59
16700;96;12.03
12300;106;6.83
11700;62;115.95
17900;107;2.27
18300;53;10.44
17600;50;9.36
18400;98;3.16
16600;117;3.69
14400;37;11.52
18600;17;2.78
15600;38;111.12
12700;105;3.67
14900;89;31.61
12600;101;23.05
16700;64;10.46
19200;106;7.07
13000;30;7.21
17800;88;5.67
17400;75;14.76
14400;13;9.64
14700;82;3.06
19900;31;8.26
17100;43;5.89
14200;62;20.75
11800;118;4.67
10900;123;5.40
12300;91;7.05
11400;113;8.77
16800;86;3.24
19900;27;9.89
15800;32;14.95
13400;78;4.18
17500;27;3.49
14200;93;19.00
10700;35;7.42
14000;39;2.65
13100;100;2.75
13100;80;2.64
19300;79;2.98
12700;28;3.74
11100;43;3.98
12400;59;2.55
14600;43;6.44
12800;97;12.14
20300;110;5.38
19700;113;17.17
15600;76;113.64
12900;25;3.32
15600;101;111.87
15800;62;16.01
16800;32;3.15
16100;72;3.22
16000;73;8.84
17200;88;51.50
15800;5;15.87
15600;80;92.13
20200;108;2.89
15600;84;110.71
17800;50;5.36
18200;96;3.92
20100;96;5.99
15300;109;7.28
15900;115;3.59
13700;6;9.30
18600;37;2.72
14500;85;3.61
12300;99;6.05
19700;30;18.88
14900;65;32.88
16000;96;9.19
20700;88;3.69
12100;52;10.15
13100;106;3.16
15900;75;3.45
18700;35;5.26
19900;52;10.66
15300;60;7.82
12600;86;27.19
19400;3;6.33
17200;102;57.33
12500;120;5.15
11400;21;7.55
14200;1;18.79
14700;119;2.92
12000;18;4.13
20200;21;2.56
16600;38;4.51
18200;33;3.50
12100;114;8.23
11400;120;7.76
13000;71;7.34
20000;50;2.75
18900;33;3.70
11700;30;120.28
15700;64;5.03
11800;41;4.76
18800;1;31.84
14400;45;9.39
18700;111;5.22
14200;59;20.71
13900;109;6.34
20300;94;5.08
12500;102;4.61
15900;59;3.63
19900;8;9.05
19400;46;6.23
17800;53;5.42
11000;24;32.71
20600;31;12.78
15700;57;4.35
15600;67;99.18
15800;18;15.56
11900;29;18.97
10600;4;3.64
15600;122;115.71
14700;4;3.07
11200;9;12.57
11900;97;18.38
13900;29;6.21
11600;117;5.19
16500;26;23.20
10900;24;5.45
12300;1;7.01
19900;121;9.56
12800;40;11.53
14300;57;4.02
20300;8;4.83
16800;8;3.07
12200;52;3.09
16400;71;5.42
19000;102;13.48
12300;63;6.58
14800;62;4.90
20200;60;2.59
17300;60;3.84
15900;9;3.39
15900;51;4.09
14700;94;2.80
19800;41;4.03
17100;99;5.68
12400;9;3.01
17300;14;4.69
17800;7;5.78
11600;75;5.52
14400;72;11.86
16400;69;5.11
17900;57;2.39
19100;1;3.41
13200;65;5.16
12600;86;26.29
17800;23;5.38
19800;26;3.55
17200;38;51.39
13800;69;3.01
11900;8;16.38
12700;84;3.60
12300;92;6.76
10700;54;6.71
20300;44;4.41
13100;34;2.85
17200;43;45.02
15100;48;14.48
20200;103;2.88
19900;26;9.28
19300;68;2.90
13400;8;4.43
13500;18;14.17
11700;66;106.74
11100;79;4.92
15600;40;103.31
15000;26;4.07
13500;31;14.54
13100;88;2.94
16600;63;4.54
13100;111;2.78
10600;48;3.15
12300;74;6.58
10800;59;3.12
10400;97;3.85
15000;4;4.16
18200;41;3.81
19500;101;100.61
15500;75;6.55
11900;65;16.15
12600;81;25.68
12200;84;3.04
13800;75;3.25
11800;32;4.32
17600;61;8.77
17400;73;15.81
13700;5;7.56
12200;75;2.83
14400;64;11.12
12000;93;4.07
15300;81;7.12
14400;16;11.73
18900;65;3.86
11500;24;3.10
13400;4;4.26
17000;92;2.97
17600;10;8.90
18900;96;4.14
18500;121;6.72
19500;11;103.66
18900;31;4.49
15200;72;3.60
16200;50;6.02
16100;53;3.53
10300;81;22.84
15100;108;13.96
10700;6;7.41
10900;102;5.10
12500;13;5.26
13200;32;6.38
12400;47;2.41
13400;36;4.88
11800;77;4.63
13200;115;5.95
11400;13;8.60
11700;105;97.50
11900;35;16.98
12800;49;12.05
20300;27;4.88
17100;10;5.36
15700;14;4.74
11000;40;34.92
11100;32;3.82
15500;104;5.82
17100;120;5.35
18300;79;11.16
17400;89;13.84
12400;116;2.82
15500;118;6.41
15800;78;16.74
15600;88;98.63
12800;11;12.55
19200;118;8.52
10900;91;5.23
10800;23;2.86
11600;120;6.50
14000;37;2.56
11800;87;4.56
14900;62;35.77
13800;74;2.76
11300;41;3.34
10600;39;3.12
16300;65;2.64
19500;27;99.02
10700;104;7.70
18000;14;4.66
19700;5;17.36
19100;12;3.12
11500;37;2.68
20200;103;2.94
16500;93;28.20
12800;108;12.17
18400;25;3.48
10400;124;3.85
20100;40;6.35
17000;52;2.75
14700;15;2.97
11200;82;14.41
17800;31;6.67
16900;54;8.35
10900;1;5.45
13900;43;5.92
11300;69;3.40
20100;74;6.54
12600;76;26.81
10900;108;5.87
16000;87;8.29
14900;112;32.30
19500;1;108.57
15200;60;3.79
19200;20;7.90
11600;107;5.73
18800;55;35.04
12200;72;2.83
16200;73;6.99
19200;32;8.76
11400;49;7.17
20200;92;2.45
15200;116;3.59
18100;111;20.60
15100;66;13.67
13500;125;14.88
11200;13;13.18
13400;101;3.99
19200;124;7.74
17500;125;3.98
19500;79;95.40
18100;3;19.62
10400;34;3.81
11500;121;3.10
16200;101;7.01
19200;100;8.58
12500;97;5.75
12600;103;24.01
20700;101;3.19
18700;34;4.99
15200;57;3.65
17800;25;5.57
17900;96;2.51
18800;39;35.71
11700;25;96.29
11200;86;13.45
19400;109;5.83
15300;34;7.45
18900;13;4.65
18800;43;34.85
17600;52;9.81
17000;19;3.07
17700;24;3.05
15200;22;3.89
16200;36;6.29
16000;91;9.05
12700;70;4.48
17900;90;2.56
19900;64;9.14
10700;85;6.58
18300;80;10.26
11700;118;91.78
11500;65;2.65
20200;114;2.86
12200;102;2.98
15500;33;6.36
20400;23;28.39
20200;2;2.87
16700;5;10.31
14900;117;30.56
16400;62;5.25
13600;58;3.64
11000;83;37.77
17500;31;3.33
16800;13;3.34
12200;62;3.10
19200;11;7.74
19500;59;108.57
12300;48;6.12
16100;123;3.19
10800;70;3.03
19600;101;4.84
20800;124;6.69
11200;70;11.93
13800;74;2.94
17900;42;2.57
14400;61;9.67
12900;82;3.13
17300;125;4.01
15000;11;4.16
17800;7;6.54
19400;35;6.04
14600;104;7.79
15000;26;4.37
16200;104;6.88
14500;88;3.35
18600;3;2.62
15100;3;11.40
18000;52;4.48
11700;114;117.00
12500;7;5.25
13600;62;3.90
15800;89;17.27
15200;95;3.48
19600;95;3.99
15600;9;98.30
13800;19;3.13
15500;60;6.26
20800;89;7.32
18400;67;3.03
20100;111;6.64
14100;18;5.31
17900;105;2.59
20300;75;5.32
11500;84;2.80
10700;86;6.49
10500;75;9.07
13500;63;16.59
14900;84;39.02
11500;103;3.35
20500;78;3.65
19100;8;3.12
10300;76;21.63
15300;93;7.95
20700;85;3.10
14100;49;4.45
11300;42;3.63
11800;49;5.13
19100;8;3.62
20000;79;3.34
16300;24;2.86
13100;86;2.77
17200;27;54.73
10500;94;11.01
13500;75;15.28
11200;64;12.93
15100;24;12.32
13500;109;14.36
18700;103;5.57
12200;114;2.99
19300;97;2.63
11600;45;5.75
15800;80;18.47
13200;46;5.48
11900;84;19.14
11200;21;12.28
18300;93;9.88
12900;82;3.42
12700;82;4.02
14900;117;34.28
13100;15;2.98
13400;103;4.37
17200;110;46.43
11600;68;5.29
11500;102;2.68
11400;65;8.69
16600;59;4.18
10600;37;3.44
20500;43;4.28
15500;75;5.53
18900;115;4.52
15900;25;3.85
18800;104;37.60
16500;68;22.92
19900;22;9.14
19400;97;5.78
15700;76;4.30
10200;85;4.09
16000;80;9.09
19600;43;4.86
19900;25;8.90
13900;26;5.96
15800;8;15.26
16900;71;7.92
15000;72;4.49
19100;26;3.17
12800;27;12.34
13300;81;48.27
12900;102;3.45
15700;6;4.86
14200;20;24.10
15000;33;3.92
13600;3;3.69
12400;15;2.47
11700;86;103.88
